word,type
der Zufall,Noun
hinterlassen,Verb
fair,Other
locker,Other
nachdenken,Verb
satt,Other
hoffen,Verb
die Energie,Noun
die Oma,Noun
die Großmutter,Noun
der Dieb,Noun
der Beweis,Noun
verbringen,Verb
der Garten,Noun
der Mantel,Noun
das Brot,Noun
die Lösung,Noun
das Wetter,Noun
schätzen,Verb
der Champagner,Noun
das Publikum,Noun
dringend,Other
der Bulle,Noun
der Stuhl,Noun
ebenso,Other
der Schutz,Noun
weshalb,Other
die Karriere,Noun
kochen,Verb
der Norden,Noun
nachher,Other
anhalten,Verb
abends,Other
der Hintergrund,Noun
der Schüler,Noun
die Krankheit,Noun
Europa,Other
der Süden,Noun
hassen,Verb
beinahe,Other
klug,Other
die Abteilung,Noun
träumen,Verb
die Vorstellung,Noun
schick,Other
der Samstag,Noun
der Gast,Noun
die Mitte,Noun
das Tausend,Noun
das Ohr,Noun
der Berg,Noun
die Rose,Noun
die Erinnerung,Noun
normalerweise,Other
aufgeben,Verb
der Ton,Noun
das Gebiet,Noun
der Westen,Noun
der Zweifel,Noun
der Staat,Noun
stehlen,Verb
einander,Other
merken,Verb
der Direktor,Noun
der Kuchen,Noun
wundervoll,Other
die Kohle,Noun
springen,Verb
teuer,Other
die Medizin,Noun
das Video,Noun
scharf,Other
der Beruf,Noun
das Hemd,Noun
abholen,Verb
trotz,Other
langweilig,Other
die Rechnung,Noun
der Termin,Noun
erlauben,Verb
wetten,Verb
der Spiegel,Noun
enden,Verb
die Menschheit,Noun
nieder,Other
selbstverständlich,Other
der Sturm,Noun
lösen,Verb
der Motor,Noun
reiten,Verb
funktionieren,Verb
überprüfen,Verb
unterschreiben,Verb
schwach,Other
der Winter,Noun
entlassen,Verb
handeln,Verb
die Brust,Noun
die Größe,Noun
die Zigarette,Noun
zählen,Verb
das Handy,Noun
seitdem,Other
das College,Noun
die Toilette,Noun
neulich,Other
hauen,Verb
widmen,Verb
die Tatsache,Noun
freundlich,Other
der Selbstmord,Noun
annehmen,Verb
besprechen,Verb
die Zunge,Noun
die Treppe,Noun
der Streit,Noun
der Bauch,Noun
eifersüchtig,Other
die Decke,Noun
drücken,Verb
der Deutsche,Noun
erste,Other
außerhalb,Other
der Montag,Noun
peinlich,Other
schlau,Other
blau,Other
wild,Other
frisch,Other
der Inspektor,Noun
mehrere,Other
aufmachen,Verb
die Eisenbahn,Noun
das Papier,Noun
zurückkommen,Verb
landen,Verb
vergeben,Other
verhaften,Verb
das Talent,Noun
der Geschmack,Noun
das Labor,Noun
zwölf,Other
ausgehen,Verb
der Griff,Noun
das Ei,Noun
wählen,Verb
der Osten,Noun
der Alkohol,Noun
die Erklärung,Noun
der Bürgermeister,Noun
reinkommen,Verb
verändern,Verb
behandeln,Verb
kontrollieren,Verb
Kalifornien,Other
gebrauchen,Verb
der Schnee,Noun
verfolgen,Verb
die Zahl,Noun
jederzeit,Other
das Pech,Noun
die Botschaft,Noun
der Stoff,Noun
die Mitternacht,Noun
enthalten,Verb
Mexiko,Other
auseinander,Other
das Verfahren,Noun
die Sendung,Noun
packen,Verb
die Heimat,Noun
hingehen,Verb
verwirrt,Other
die Linie,Noun
französisch,Other
der Scheck,Noun
fressen,Verb
ausgezeichnet,Other
die Jacke,Noun
hungrig,Other
die Kleidung,Noun
aufgeregt,Other
getrennt,Other
die Absicht,Noun
die Aussage,Noun
das Feld,Noun
schief,Other
die Mühe,Noun
interessieren,Verb
selten,Other
grün,Other
das Prozent,Noun
die Kuh,Noun
der Spieler,Noun
gebraucht,Other
der Fernseher,Noun
die Erlaubnis,Noun
die Bedeutung,Noun
irgendein,Other
die Hütte,Noun
enttäuscht,Other
die Brille,Noun
stoppen,Verb
der Eindruck,Noun
anziehen,Verb
die Not,Noun
der Stil,Noun
das Schlafzimmer,Noun
fein,Other
das Gras,Noun
fehlen,Verb
der Strom,Noun
merkwürdig,Other
der Titel,Noun
spazieren gehen,Verb
dicht,Other
die Geburt,Noun
geheim,Other
das Universum,Noun
die Politik,Noun
der Müll,Noun
riskieren,Verb
anfassen,Verb
der Staub,Noun
der Narr,Noun
der Vorschlag,Noun
das Klo,Noun
das Werk,Noun
raten,Verb
der Hof,Noun
der Opa,Noun
der Künstler,Noun
begleiten,Verb
der Kaiser,Noun
verpassen,Verb
der Kauf,Noun
beobachten,Verb
das Projekt,Noun
weiterhin,Other
trennen,Verb
probieren,Verb
spitze,Other
die Spitze,Noun
das Benzin,Noun
Deutschland,Other
zuhören,Verb
der Bürger,Noun
der Dummkopf,Noun
gemein,Other
das Holz,Noun
der Dienstag,Noun
gucken,Verb
der Mittag,Noun
die Fabrik,Noun
die Leiter,Noun
der Leiter,Noun
die Leiter,Noun
die Schlange,Noun
der Zucker,Noun
dienen,Verb
zuletzt,Other
heutzutage,Other
dahinter,Other
der Wissenschaftler,Noun
genießen,Verb
